id_alerta,codigo_tipo,fraccion_arancelaria,pais_origen_afectado,proveedor_extranjero_afectado,fecha_emision,fecha_vencimiento,vigente,nivel_criticidad,titulo_corto,descripcion_detallada,modus_operandi,senales_de_alerta,accion_recomendada,num_casos_detectados
A-2024-0065,FRA,9403.60,,PROV-153,2024-09-07,2025-07-28,False,MEDIO,Clasificación incorrecta frecuente en 9403.60,Se detecta uso incorrecto de esta fracción para productos de mayor arancel.,Productos clasificados como 'partes' cuando son equipos completos.,"[""Descripci\u00f3n de mercanc\u00eda no coincide con fracci\u00f3n"", ""Precio unitario inconsistente con la clasificaci\u00f3n"", ""Historial de reclasificaciones en reconocimiento""]",Verificar descripción detallada y solicitar ficha técnica del producto,42
A-2024-0066,SAN,,Panamá,PROV-157,2025-06-08,2025-11-13,False,CRITICO,Proveedor en lista de observación,Proveedor extranjero con antecedentes de irregularidades.,Empresa relacionada con casos previos de fraude aduanero.,"[""Proveedor en lista OFAC o similar"", ""Relacionado con empresa sancionada"", ""M\u00faltiples casos de subfacturaci\u00f3n""]",Verificar identidad del proveedor y solicitar documentación corporativa,10
A-2024-0067,SUB,8473.30,Hong Kong,,2024-08-16,2025-01-25,False,CRITICO,Subfacturación sistemática en 8473.30,Patrón de subfacturación detectado en importaciones de esta fracción desde Hong Kong.,Declaración de valores 40-60% por debajo del mercado de forma consistente.,"[""Precio declarado en percentil <5 del mercado"", ""Mismo importador con patr\u00f3n de erosi\u00f3n gradual de precios"", ""M\u00faltiples importadores con precio id\u00e9ntico del mismo proveedor""]","Solicitar documentación adicional de valor: contratos, pagos bancarios, lista de precios del proveedor",11
A-2024-0068,SAN,,Vietnam,,2024-08-06,2025-06-08,False,CRITICO,Proveedor en lista de observación,Proveedor extranjero con antecedentes de irregularidades.,Empresa relacionada con casos previos de fraude aduanero.,"[""Proveedor en lista OFAC o similar"", ""Relacionado con empresa sancionada"", ""M\u00faltiples casos de subfacturaci\u00f3n""]",Verificar identidad del proveedor y solicitar documentación corporativa,37
A-2024-0069,NOM,3004.90,,PROV-096,2025-03-09,2025-08-31,False,MEDIO,NOM actualizada requiere verificación,Norma oficial mexicana actualizada recientemente para esta fracción.,Productos importados bajo norma anterior ya no vigente.,"[""Certificado de cumplimiento con fecha anterior a actualizaci\u00f3n"", ""Etiquetado no cumple nueva NOM"", ""Falta certificaci\u00f3n de laboratorio acreditado""]",Verificar cumplimiento con versión vigente de la NOM,23
A-2024-0070,DUM,8504.40,Panamá,,2024-05-29,2024-09-23,False,ALTO,Posible dumping desde Panamá,Precios consistentemente por debajo del costo de producción.,Venta a precios predatorios para ganar participación de mercado.,"[""Precio por debajo del costo de materias primas"", ""Volumen de importaciones aument\u00f3 200%+"", ""Industria nacional presenta quejas formales""]",Documentar para posible investigación de prácticas desleales,34
A-2024-0071,SUB,8473.30,Malasia,,2025-02-15,2025-11-28,False,CRITICO,Subfacturación sistemática en 8473.30,Patrón de subfacturación detectado en importaciones de esta fracción desde Malasia.,Declaración de valores 40-60% por debajo del mercado de forma consistente.,"[""Precio declarado en percentil <5 del mercado"", ""Mismo importador con patr\u00f3n de erosi\u00f3n gradual de precios"", ""M\u00faltiples importadores con precio id\u00e9ntico del mismo proveedor""]","Solicitar documentación adicional de valor: contratos, pagos bancarios, lista de precios del proveedor",29
A-2024-0072,NOM,3926.90,,,2024-04-17,2025-02-13,False,MEDIO,NOM actualizada requiere verificación,Norma oficial mexicana actualizada recientemente para esta fracción.,Productos importados bajo norma anterior ya no vigente.,"[""Certificado de cumplimiento con fecha anterior a actualizaci\u00f3n"", ""Etiquetado no cumple nueva NOM"", ""Falta certificaci\u00f3n de laboratorio acreditado""]",Verificar cumplimiento con versión vigente de la NOM,34
A-2024-0073,SUB,8536.69,Vietnam,PROV-141,2025-06-10,2025-09-23,False,CRITICO,Subfacturación sistemática en 8536.69,Patrón de subfacturación detectado en importaciones de esta fracción desde Vietnam.,Declaración de valores 40-60% por debajo del mercado de forma consistente.,"[""Precio declarado en percentil <5 del mercado"", ""Mismo importador con patr\u00f3n de erosi\u00f3n gradual de precios"", ""M\u00faltiples importadores con precio id\u00e9ntico del mismo proveedor""]","Solicitar documentación adicional de valor: contratos, pagos bancarios, lista de precios del proveedor",17
A-2024-0074,SAN,,Hong Kong,,2024-11-11,2025-05-06,False,CRITICO,Proveedor en lista de observación,Proveedor extranjero con antecedentes de irregularidades.,Empresa relacionada con casos previos de fraude aduanero.,"[""Proveedor en lista OFAC o similar"", ""Relacionado con empresa sancionada"", ""M\u00faltiples casos de subfacturaci\u00f3n""]",Verificar identidad del proveedor y solicitar documentación corporativa,34
A-2024-0075,SAN,,Malasia,PROV-279,2024-03-28,2024-08-22,False,CRITICO,Proveedor en lista de observación,Proveedor extranjero con antecedentes de irregularidades.,Empresa relacionada con casos previos de fraude aduanero.,"[""Proveedor en lista OFAC o similar"", ""Relacionado con empresa sancionada"", ""M\u00faltiples casos de subfacturaci\u00f3n""]",Verificar identidad del proveedor y solicitar documentación corporativa,26
A-2024-0076,SAN,,Malasia,PROV-218,2025-07-22,2026-06-02,False,CRITICO,Proveedor en lista de observación,Proveedor extranjero con antecedentes de irregularidades.,Empresa relacionada con casos previos de fraude aduanero.,"[""Proveedor en lista OFAC o similar"", ""Relacionado con empresa sancionada"", ""M\u00faltiples casos de subfacturaci\u00f3n""]",Verificar identidad del proveedor y solicitar documentación corporativa,9
A-2024-0077,NOM,8504.40,,,2024-12-23,2025-08-22,False,MEDIO,NOM actualizada requiere verificación,Norma oficial mexicana actualizada recientemente para esta fracción.,Productos importados bajo norma anterior ya no vigente.,"[""Certificado de cumplimiento con fecha anterior a actualizaci\u00f3n"", ""Etiquetado no cumple nueva NOM"", ""Falta certificaci\u00f3n de laboratorio acreditado""]",Verificar cumplimiento con versión vigente de la NOM,31
A-2024-0078,FRA,3004.90,,,2024-09-11,2025-01-23,False,MEDIO,Clasificación incorrecta frecuente en 3004.90,Se detecta uso incorrecto de esta fracción para productos de mayor arancel.,Productos clasificados como 'partes' cuando son equipos completos.,"[""Descripci\u00f3n de mercanc\u00eda no coincide con fracci\u00f3n"", ""Precio unitario inconsistente con la clasificaci\u00f3n"", ""Historial de reclasificaciones en reconocimiento""]",Verificar descripción detallada y solicitar ficha técnica del producto,10
A-2024-0079,DUM,8536.69,Tailandia,,2025-01-03,2025-07-19,False,ALTO,Posible dumping desde Tailandia,Precios consistentemente por debajo del costo de producción.,Venta a precios predatorios para ganar participación de mercado.,"[""Precio por debajo del costo de materias primas"", ""Volumen de importaciones aument\u00f3 200%+"", ""Industria nacional presenta quejas formales""]",Documentar para posible investigación de prácticas desleales,25
A-2024-0080,DUM,9403.60,Vietnam,,2024-06-21,2024-12-12,False,ALTO,Posible dumping desde Vietnam,Precios consistentemente por debajo del costo de producción.,Venta a precios predatorios para ganar participación de mercado.,"[""Precio por debajo del costo de materias primas"", ""Volumen de importaciones aument\u00f3 200%+"", ""Industria nacional presenta quejas formales""]",Documentar para posible investigación de prácticas desleales,16
A-2024-0081,DUM,8473.30,Panamá,,2025-07-04,2026-03-30,False,ALTO,Posible dumping desde Panamá,Precios consistentemente por debajo del costo de producción.,Venta a precios predatorios para ganar participación de mercado.,"[""Precio por debajo del costo de materias primas"", ""Volumen de importaciones aument\u00f3 200%+"", ""Industria nacional presenta quejas formales""]",Documentar para posible investigación de prácticas desleales,13
A-2024-0082,FRA,9403.60,,PROV-264,2024-11-07,2025-07-03,False,MEDIO,Clasificación incorrecta frecuente en 9403.60,Se detecta uso incorrecto de esta fracción para productos de mayor arancel.,Productos clasificados como 'partes' cuando son equipos completos.,"[""Descripci\u00f3n de mercanc\u00eda no coincide con fracci\u00f3n"", ""Precio unitario inconsistente con la clasificaci\u00f3n"", ""Historial de reclasificaciones en reconocimiento""]",Verificar descripción detallada y solicitar ficha técnica del producto,46
A-2024-0083,DUM,8536.69,Hong Kong,,2025-05-28,2025-11-03,False,ALTO,Posible dumping desde Hong Kong,Precios consistentemente por debajo del costo de producción.,Venta a precios predatorios para ganar participación de mercado.,"[""Precio por debajo del costo de materias primas"", ""Volumen de importaciones aument\u00f3 200%+"", ""Industria nacional presenta quejas formales""]",Documentar para posible investigación de prácticas desleales,20
A-2024-0084,DUM,6203.42,Vietnam,,2025-04-26,2025-09-30,False,ALTO,Posible dumping desde Vietnam,Precios consistentemente por debajo del costo de producción.,Venta a precios predatorios para ganar participación de mercado.,"[""Precio por debajo del costo de materias primas"", ""Volumen de importaciones aument\u00f3 200%+"", ""Industria nacional presenta quejas formales""]",Documentar para posible investigación de prácticas desleales,18
A-2024-0085,DUM,8517.12,Malasia,,2024-07-27,2025-07-02,False,ALTO,Posible dumping desde Malasia,Precios consistentemente por debajo del costo de producción.,Venta a precios predatorios para ganar participación de mercado.,"[""Precio por debajo del costo de materias primas"", ""Volumen de importaciones aument\u00f3 200%+"", ""Industria nacional presenta quejas formales""]",Documentar para posible investigación de prácticas desleales,43
A-2024-0086,PRO,8542.31,,,2024-08-14,2025-07-01,False,CRITICO,Producto con restricciones especiales,Producto sujeto a regulaciones especiales o permisos previos.,Intento de importación sin permisos requeridos.,"[""Falta permiso COFEPRIS/SENASICA/SEMARNAT"", ""Producto en lista de sustancias controladas"", ""Requiere certificaci\u00f3n especial""]",Verificar permisos previos y certificaciones requeridas,8
A-2024-0087,PRO,3926.90,,,2024-03-24,2024-11-11,False,CRITICO,Producto con restricciones especiales,Producto sujeto a regulaciones especiales o permisos previos.,Intento de importación sin permisos requeridos.,"[""Falta permiso COFEPRIS/SENASICA/SEMARNAT"", ""Producto en lista de sustancias controladas"", ""Requiere certificaci\u00f3n especial""]",Verificar permisos previos y certificaciones requeridas,26
A-2024-0088,PRO,9403.60,,PROV-048,2024-04-21,2025-01-03,False,CRITICO,Producto con restricciones especiales,Producto sujeto a regulaciones especiales o permisos previos.,Intento de importación sin permisos requeridos.,"[""Falta permiso COFEPRIS/SENASICA/SEMARNAT"", ""Producto en lista de sustancias controladas"", ""Requiere certificaci\u00f3n especial""]",Verificar permisos previos y certificaciones requeridas,49
A-2024-0089,PRO,8536.69,,,2024-09-01,2025-01-01,False,CRITICO,Producto con restricciones especiales,Producto sujeto a regulaciones especiales o permisos previos.,Intento de importación sin permisos requeridos.,"[""Falta permiso COFEPRIS/SENASICA/SEMARNAT"", ""Producto en lista de sustancias controladas"", ""Requiere certificaci\u00f3n especial""]",Verificar permisos previos y certificaciones requeridas,16
A-2024-0090,PRO,8708.29,,,2025-01-29,2026-01-07,False,CRITICO,Producto con restricciones especiales,Producto sujeto a regulaciones especiales o permisos previos.,Intento de importación sin permisos requeridos.,"[""Falta permiso COFEPRIS/SENASICA/SEMARNAT"", ""Producto en lista de sustancias controladas"", ""Requiere certificaci\u00f3n especial""]",Verificar permisos previos y certificaciones requeridas,21
A-2024-0091,FRA,8536.69,,,2025-04-22,2026-03-26,False,MEDIO,Clasificación incorrecta frecuente en 8536.69,Se detecta uso incorrecto de esta fracción para productos de mayor arancel.,Productos clasificados como 'partes' cuando son equipos completos.,"[""Descripci\u00f3n de mercanc\u00eda no coincide con fracci\u00f3n"", ""Precio unitario inconsistente con la clasificaci\u00f3n"", ""Historial de reclasificaciones en reconocimiento""]",Verificar descripción detallada y solicitar ficha técnica del producto,46
A-2024-0092,DUM,8542.31,Tailandia,,2025-07-15,2025-11-05,False,ALTO,Posible dumping desde Tailandia,Precios consistentemente por debajo del costo de producción.,Venta a precios predatorios para ganar participación de mercado.,"[""Precio por debajo del costo de materias primas"", ""Volumen de importaciones aument\u00f3 200%+"", ""Industria nacional presenta quejas formales""]",Documentar para posible investigación de prácticas desleales,32
A-2024-0093,TRI,3004.90,Hong Kong,PROV-220,2025-04-28,2025-10-15,False,ALTO,Triangulación detectada: Hong Kong como origen falso,Se detecta triangulación desde China vía Hong Kong para aprovechar aranceles preferenciales inexistentes.,Productos manufacturados en China son re-etiquetados en Hong Kong con certificados de origen apócrifos.,"[""Proveedor registrado hace <12 meses en Hong Kong"", ""No hay historial de manufactura en Hong Kong"", ""Precio 35-50% por debajo del mercado"", ""Certificado de origen con irregularidades""]",Solicitar certificado de origen y verificar número de registro del exportador con autoridades de Hong Kong,15
A-2024-0094,NOM,8517.12,,,2025-04-20,2025-12-20,False,MEDIO,NOM actualizada requiere verificación,Norma oficial mexicana actualizada recientemente para esta fracción.,Productos importados bajo norma anterior ya no vigente.,"[""Certificado de cumplimiento con fecha anterior a actualizaci\u00f3n"", ""Etiquetado no cumple nueva NOM"", ""Falta certificaci\u00f3n de laboratorio acreditado""]",Verificar cumplimiento con versión vigente de la NOM,20
A-2024-0095,TRI,8542.31,Panamá,,2024-08-29,2025-04-04,False,ALTO,Triangulación detectada: Panamá como origen falso,Se detecta triangulación desde China vía Panamá para aprovechar aranceles preferenciales inexistentes.,Productos manufacturados en China son re-etiquetados en Panamá con certificados de origen apócrifos.,"[""Proveedor registrado hace <12 meses en Panam\u00e1"", ""No hay historial de manufactura en Panam\u00e1"", ""Precio 35-50% por debajo del mercado"", ""Certificado de origen con irregularidades""]",Solicitar certificado de origen y verificar número de registro del exportador con autoridades de Panamá,44
A-2024-0096,SUB,8544.42,Panamá,,2025-07-11,2026-04-29,False,CRITICO,Subfacturación sistemática en 8544.42,Patrón de subfacturación detectado en importaciones de esta fracción desde Panamá.,Declaración de valores 40-60% por debajo del mercado de forma consistente.,"[""Precio declarado en percentil <5 del mercado"", ""Mismo importador con patr\u00f3n de erosi\u00f3n gradual de precios"", ""M\u00faltiples importadores con precio id\u00e9ntico del mismo proveedor""]","Solicitar documentación adicional de valor: contratos, pagos bancarios, lista de precios del proveedor",17
A-2024-0097,PRO,8471.30,,PROV-040,2025-06-01,2025-10-17,False,CRITICO,Producto con restricciones especiales,Producto sujeto a regulaciones especiales o permisos previos.,Intento de importación sin permisos requeridos.,"[""Falta permiso COFEPRIS/SENASICA/SEMARNAT"", ""Producto en lista de sustancias controladas"", ""Requiere certificaci\u00f3n especial""]",Verificar permisos previos y certificaciones requeridas,11
A-2024-0098,SAN,,Tailandia,,2025-01-14,2026-01-04,False,CRITICO,Proveedor en lista de observación,Proveedor extranjero con antecedentes de irregularidades.,Empresa relacionada con casos previos de fraude aduanero.,"[""Proveedor en lista OFAC o similar"", ""Relacionado con empresa sancionada"", ""M\u00faltiples casos de subfacturaci\u00f3n""]",Verificar identidad del proveedor y solicitar documentación corporativa,3
A-2024-0099,NOM,8504.40,,,2024-09-16,2025-02-14,False,MEDIO,NOM actualizada requiere verificación,Norma oficial mexicana actualizada recientemente para esta fracción.,Productos importados bajo norma anterior ya no vigente.,"[""Certificado de cumplimiento con fecha anterior a actualizaci\u00f3n"", ""Etiquetado no cumple nueva NOM"", ""Falta certificaci\u00f3n de laboratorio acreditado""]",Verificar cumplimiento con versión vigente de la NOM,11
A-2024-0100,PRO,8528.72,,PROV-053,2025-06-22,2026-01-15,False,CRITICO,Producto con restricciones especiales,Producto sujeto a regulaciones especiales o permisos previos.,Intento de importación sin permisos requeridos.,"[""Falta permiso COFEPRIS/SENASICA/SEMARNAT"", ""Producto en lista de sustancias controladas"", ""Requiere certificaci\u00f3n especial""]",Verificar permisos previos y certificaciones requeridas,9
A-2024-0101,FRA,8517.12,,,2024-08-22,2025-04-22,False,MEDIO,Clasificación incorrecta frecuente en 8517.12,Se detecta uso incorrecto de esta fracción para productos de mayor arancel.,Productos clasificados como 'partes' cuando son equipos completos.,"[""Descripci\u00f3n de mercanc\u00eda no coincide con fracci\u00f3n"", ""Precio unitario inconsistente con la clasificaci\u00f3n"", ""Historial de reclasificaciones en reconocimiento""]",Verificar descripción detallada y solicitar ficha técnica del producto,11
A-2024-0102,NOM,8473.30,,,2025-04-09,2025-08-12,False,MEDIO,NOM actualizada requiere verificación,Norma oficial mexicana actualizada recientemente para esta fracción.,Productos importados bajo norma anterior ya no vigente.,"[""Certificado de cumplimiento con fecha anterior a actualizaci\u00f3n"", ""Etiquetado no cumple nueva NOM"", ""Falta certificaci\u00f3n de laboratorio acreditado""]",Verificar cumplimiento con versión vigente de la NOM,42
A-2024-0103,NOM,2106.90,,,2025-03-18,2026-01-27,False,MEDIO,NOM actualizada requiere verificación,Norma oficial mexicana actualizada recientemente para esta fracción.,Productos importados bajo norma anterior ya no vigente.,"[""Certificado de cumplimiento con fecha anterior a actualizaci\u00f3n"", ""Etiquetado no cumple nueva NOM"", ""Falta certificaci\u00f3n de laboratorio acreditado""]",Verificar cumplimiento con versión vigente de la NOM,43
A-2024-0104,NOM,9403.60,,,2025-03-31,2026-01-25,False,MEDIO,NOM actualizada requiere verificación,Norma oficial mexicana actualizada recientemente para esta fracción.,Productos importados bajo norma anterior ya no vigente.,"[""Certificado de cumplimiento con fecha anterior a actualizaci\u00f3n"", ""Etiquetado no cumple nueva NOM"", ""Falta certificaci\u00f3n de laboratorio acreditado""]",Verificar cumplimiento con versión vigente de la NOM,16
A-2024-0105,TRI,8536.69,China,,2025-05-23,2025-10-31,False,ALTO,Triangulación detectada: China como origen falso,Se detecta triangulación desde China vía China para aprovechar aranceles preferenciales inexistentes.,Productos manufacturados en China son re-etiquetados en China con certificados de origen apócrifos.,"[""Proveedor registrado hace <12 meses en China"", ""No hay historial de manufactura en China"", ""Precio 35-50% por debajo del mercado"", ""Certificado de origen con irregularidades""]",Solicitar certificado de origen y verificar número de registro del exportador con autoridades de China,27
A-2024-0106,FRA,8536.69,,PROV-142,2024-06-20,2025-02-26,False,MEDIO,Clasificación incorrecta frecuente en 8536.69,Se detecta uso incorrecto de esta fracción para productos de mayor arancel.,Productos clasificados como 'partes' cuando son equipos completos.,"[""Descripci\u00f3n de mercanc\u00eda no coincide con fracci\u00f3n"", ""Precio unitario inconsistente con la clasificaci\u00f3n"", ""Historial de reclasificaciones en reconocimiento""]",Verificar descripción detallada y solicitar ficha técnica del producto,44
A-2024-0107,TRI,8536.69,Tailandia,PROV-155,2024-12-22,2025-08-14,False,ALTO,Triangulación detectada: Tailandia como origen falso,Se detecta triangulación desde China vía Tailandia para aprovechar aranceles preferenciales inexistentes.,Productos manufacturados en China son re-etiquetados en Tailandia con certificados de origen apócrifos.,"[""Proveedor registrado hace <12 meses en Tailandia"", ""No hay historial de manufactura en Tailandia"", ""Precio 35-50% por debajo del mercado"", ""Certificado de origen con irregularidades""]",Solicitar certificado de origen y verificar número de registro del exportador con autoridades de Tailandia,16
A-2024-0108,SAN,,Tailandia,,2024-03-30,2024-10-02,False,CRITICO,Proveedor en lista de observación,Proveedor extranjero con antecedentes de irregularidades.,Empresa relacionada con casos previos de fraude aduanero.,"[""Proveedor en lista OFAC o similar"", ""Relacionado con empresa sancionada"", ""M\u00faltiples casos de subfacturaci\u00f3n""]",Verificar identidad del proveedor y solicitar documentación corporativa,44
A-2024-0109,TRI,8528.72,China,PROV-037,2024-12-31,2025-12-09,False,ALTO,Triangulación detectada: China como origen falso,Se detecta triangulación desde China vía China para aprovechar aranceles preferenciales inexistentes.,Productos manufacturados en China son re-etiquetados en China con certificados de origen apócrifos.,"[""Proveedor registrado hace <12 meses en China"", ""No hay historial de manufactura en China"", ""Precio 35-50% por debajo del mercado"", ""Certificado de origen con irregularidades""]",Solicitar certificado de origen y verificar número de registro del exportador con autoridades de China,36
A-2024-0110,TRI,8517.12,Hong Kong,,2024-08-29,2025-05-08,False,ALTO,Triangulación detectada: Hong Kong como origen falso,Se detecta triangulación desde China vía Hong Kong para aprovechar aranceles preferenciales inexistentes.,Productos manufacturados en China son re-etiquetados en Hong Kong con certificados de origen apócrifos.,"[""Proveedor registrado hace <12 meses en Hong Kong"", ""No hay historial de manufactura en Hong Kong"", ""Precio 35-50% por debajo del mercado"", ""Certificado de origen con irregularidades""]",Solicitar certificado de origen y verificar número de registro del exportador con autoridades de Hong Kong,39
A-2024-0111,PRO,8536.69,,,2024-08-24,2025-02-18,False,CRITICO,Producto con restricciones especiales,Producto sujeto a regulaciones especiales o permisos previos.,Intento de importación sin permisos requeridos.,"[""Falta permiso COFEPRIS/SENASICA/SEMARNAT"", ""Producto en lista de sustancias controladas"", ""Requiere certificaci\u00f3n especial""]",Verificar permisos previos y certificaciones requeridas,7
A-2024-0112,TRI,8708.29,Vietnam,PROV-031,2025-06-25,2025-09-30,False,ALTO,Triangulación detectada: Vietnam como origen falso,Se detecta triangulación desde China vía Vietnam para aprovechar aranceles preferenciales inexistentes.,Productos manufacturados en China son re-etiquetados en Vietnam con certificados de origen apócrifos.,"[""Proveedor registrado hace <12 meses en Vietnam"", ""No hay historial de manufactura en Vietnam"", ""Precio 35-50% por debajo del mercado"", ""Certificado de origen con irregularidades""]",Solicitar certificado de origen y verificar número de registro del exportador con autoridades de Vietnam,28
A-2024-0113,SAN,,Hong Kong,,2024-11-13,2025-10-25,False,CRITICO,Proveedor en lista de observación,Proveedor extranjero con antecedentes de irregularidades.,Empresa relacionada con casos previos de fraude aduanero.,"[""Proveedor en lista OFAC o similar"", ""Relacionado con empresa sancionada"", ""M\u00faltiples casos de subfacturaci\u00f3n""]",Verificar identidad del proveedor y solicitar documentación corporativa,28
A-2024-0114,TRI,9403.60,Vietnam,PROV-159,2024-03-02,2025-03-02,False,ALTO,Triangulación detectada: Vietnam como origen falso,Se detecta triangulación desde China vía Vietnam para aprovechar aranceles preferenciales inexistentes.,Productos manufacturados en China son re-etiquetados en Vietnam con certificados de origen apócrifos.,"[""Proveedor registrado hace <12 meses en Vietnam"", ""No hay historial de manufactura en Vietnam"", ""Precio 35-50% por debajo del mercado"", ""Certificado de origen con irregularidades""]",Solicitar certificado de origen y verificar número de registro del exportador con autoridades de Vietnam,8
A-2024-0115,SAN,,Malasia,,2025-02-06,2025-07-25,False,CRITICO,Proveedor en lista de observación,Proveedor extranjero con antecedentes de irregularidades.,Empresa relacionada con casos previos de fraude aduanero.,"[""Proveedor en lista OFAC o similar"", ""Relacionado con empresa sancionada"", ""M\u00faltiples casos de subfacturaci\u00f3n""]",Verificar identidad del proveedor y solicitar documentación corporativa,40
A-2024-0116,NOM,3926.90,,,2025-06-27,2026-03-02,False,MEDIO,NOM actualizada requiere verificación,Norma oficial mexicana actualizada recientemente para esta fracción.,Productos importados bajo norma anterior ya no vigente.,"[""Certificado de cumplimiento con fecha anterior a actualizaci\u00f3n"", ""Etiquetado no cumple nueva NOM"", ""Falta certificaci\u00f3n de laboratorio acreditado""]",Verificar cumplimiento con versión vigente de la NOM,18
A-2024-0117,TRI,7326.90,Hong Kong,PROV-029,2024-12-26,2025-05-09,False,ALTO,Triangulación detectada: Hong Kong como origen falso,Se detecta triangulación desde China vía Hong Kong para aprovechar aranceles preferenciales inexistentes.,Productos manufacturados en China son re-etiquetados en Hong Kong con certificados de origen apócrifos.,"[""Proveedor registrado hace <12 meses en Hong Kong"", ""No hay historial de manufactura en Hong Kong"", ""Precio 35-50% por debajo del mercado"", ""Certificado de origen con irregularidades""]",Solicitar certificado de origen y verificar número de registro del exportador con autoridades de Hong Kong,22
A-2024-0118,NOM,8471.30,,,2025-03-07,2025-08-05,False,MEDIO,NOM actualizada requiere verificación,Norma oficial mexicana actualizada recientemente para esta fracción.,Productos importados bajo norma anterior ya no vigente.,"[""Certificado de cumplimiento con fecha anterior a actualizaci\u00f3n"", ""Etiquetado no cumple nueva NOM"", ""Falta certificaci\u00f3n de laboratorio acreditado""]",Verificar cumplimiento con versión vigente de la NOM,47
A-2024-0119,TRI,2106.90,Malasia,,2025-03-19,2026-02-26,False,ALTO,Triangulación detectada: Malasia como origen falso,Se detecta triangulación desde China vía Malasia para aprovechar aranceles preferenciales inexistentes.,Productos manufacturados en China son re-etiquetados en Malasia con certificados de origen apócrifos.,"[""Proveedor registrado hace <12 meses en Malasia"", ""No hay historial de manufactura en Malasia"", ""Precio 35-50% por debajo del mercado"", ""Certificado de origen con irregularidades""]",Solicitar certificado de origen y verificar número de registro del exportador con autoridades de Malasia,49
A-2024-0120,FRA,8517.12,,,2025-03-16,2025-12-21,False,MEDIO,Clasificación incorrecta frecuente en 8517.12,Se detecta uso incorrecto de esta fracción para productos de mayor arancel.,Productos clasificados como 'partes' cuando son equipos completos.,"[""Descripci\u00f3n de mercanc\u00eda no coincide con fracci\u00f3n"", ""Precio unitario inconsistente con la clasificaci\u00f3n"", ""Historial de reclasificaciones en reconocimiento""]",Verificar descripción detallada y solicitar ficha técnica del producto,20
